3.9,2021-09-15,10:39:55.000855500,Dubrovnik
3.9,2021-09-15,18:00:17.358969500,Dubrovnik
2.6,2021-09-16,10:00:20.232671200,Dubrovnik
2.6,2021-09-16,18:00:18.044384900,Dubrovnik
0.6,2021-09-17,10:00:36.039198800,Dubrovnik
0.6,2021-09-17,14:38:14.221397,Dubrovnik
0.8,2021-09-18,10:04:34.113873400,Dubrovnik
0.8,2021-09-18,10:42:52.233684100,Dubrovnik
0.8,2021-09-18,18:00:18.646720500,Dubrovnik
1.3,2021-09-19,10:54:29.052249700,Dubrovnik
1.3,2021-09-19,18:00:36.046925600,Dubrovnik
1.3,2021-09-20,10:00:22.730544800,Dubrovnik
2.1,2021-09-20,11:07:35.325528300,Dubrovnik
2.1,2021-09-20,18:00:22.251586600,Dubrovnik
2.2,2021-09-21,10:00:25.292523900,Dubrovnik
2.2,2021-09-21,18:00:18.952856100,Dubrovnik
2.2,2021-09-22,10:55:38.701903800,Dubrovnik
3.4,2021-09-23,09:03:59.238536800,Dubrovnik
