0.2,2021-10-01,10:59:42.305296100,Zagreb
0.4,2021-10-04,10:00:17.338476900,Zagreb
0.4,2021-10-04,13:17:32.037207500,Zagreb
0.4,2021-10-04,15:39:30.537684400,Zagreb
0.2,2021-10-05,10:00:50.471983500,Zagreb
0.2,2021-10-05,16:59:53.701572400,Zagreb
0.2,2021-10-06,10:00:16.394898300,Zagreb
0.2,2021-10-06,16:54:27.229465600,Zagreb
0.2,2021-10-07,10:00:19.377113500,Zagreb
0.2,2021-10-07,16:53:13.135167900,Zagreb
0.2,2021-10-08,10:00:17.817644,Zagreb
0.2,2021-10-08,14:33:00.604416900,Zagreb
0.2,2021-10-08,16:32:03.897864,Zagreb
0.2,2021-10-11,10:00:17.696408300,Zagreb
0.2,2021-10-11,16:39:30.589952500,Zagreb
0.2,2021-10-12,10:00:17.537125800,Zagreb
0.2,2021-10-13,10:20:13.967830700,Zagreb
0.2,2021-10-13,16:43:49.556636700,Zagreb
0.2,2021-10-14,10:00:25.188729300,Zagreb
0.2,2021-10-14,17:03:08.027809800,Zagreb
0.0,2021-10-15,10:00:15.802372700,Zagreb
0.0,2021-10-15,18:00:15.681913800,Zagreb
0.0,2021-10-16,10:00:15.837525,Zagreb
0.0,2021-10-16,18:00:17.777253400,Zagreb
0.0,2021-10-17,10:00:16.021281700,Zagreb
0.0,2021-10-17,18:00:15.799023,Zagreb
0.0,2021-10-18,10:00:17.652436100,Zagreb
0.0,2021-10-18,18:00:23.725725300,Zagreb
0.0,2021-10-19,10:00:16.079578600,Zagreb
0.0,2021-10-20,10:00:18.333004600,Zagreb
0.0,2021-10-21,10:00:17.138500700,Zagreb
0.0,2021-10-22,10:00:20.920179,Zagreb
0.0,2021-10-25,10:00:17.018568400,Zagreb
0.0,2021-10-26,18:00:18.695180,Zagreb
0.0,2021-10-27,10:00:19.484061900,Zagreb
0.0,2021-10-27,18:00:16.356571700,Zagreb
0.2,2021-10-28,10:00:17.905756400,Zagreb
